Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ,@
ANIMAL,Corporate,1,82,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",11,2,10,Auto-reconciled (1 unique source) on 2025-08-01 16:46:17,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
Anomalous Gravitational-Wave Transients,Astrophysics,"Multiple (e.g., detector channels, noise characteristics)","Not explicitly stated, but covers multiple data epochs","Not explicitly stated, but expected to be high-frequency (e.g., kHz sampling)","LIGO-Virgo Collaboration, Gravitational Waves Open Science Center (GWOSC)",Not explicitly provided in research material; likely via GWOSC or challenge platform (Codabench/GitHub),"Housed signals from LIGO data, designed to detect faint astrophysical signals (e.g., binary black hole mergers) against noisy backgrounds. Includes real detector data and injected signals/glitches.","Part of a machine learning anomaly detection challenge. Data underwent preprocessing (whitening, band-passing). Focuses on transient signals. 7",12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
Anomalous Sea Level Rise (iHARP HDR Anomaly Challenge),Polar Science / Environmental Science,"12 (for tide gauge stations), plus multiple for gridded data (SLA, ADT, currents)","Approx. 184,000 (21 years x 365.25 days x 24 hours) per station",Hourly,"US East Coast Tide Gauge Stations, Copernicus Satellite Observations",Not explicitly provided in research material; likely via challenge platform (Codabench/GitHub),"Core dataset includes hourly sea-level measurements from 12 tide gauge stations (1993-2013). Complementary Copernicus dataset provides gridded sea-level elevation values across the Atlantic Ocean for the same period. Includes Sea Level Anomalies (SLA), Absolute Dynamic Topography (ADT), and geostrophic currents.","Part of a machine learning anomaly detection challenge. Designed for detecting fluctuations and predicting flooding. Training, public testing, and private testing datasets are available. 4",13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,
AppliancesEnergy,Energy Monitoring,24,144,10 minutes,UCI Machine Learning Repository,Link,"The task is to predict the total energy consumption of appliances in a home. The input is a multivariate time series with 24 dimensions, including temperature and humidity data from various sensors inside and outside the house, recorded over a 24-hour period (144 points at 10-minute intervals). The target is the total appliance energy use over that same period.","This is a highly multivariate problem. The large number of variables (24) presents a significant challenge in feature selection and handling potential collinearity between sensor readings. The model must learn to integrate information from diverse sources (temperature, humidity, weather data) to predict a single aggregate value.",14,1,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application,E-commerce / IT Observability,"39 (4 Biz-KPIs, 35 IT Events)",8834,10 seconds,GitHub (Instana),Stan's Robot Shop Repo,"Similar to the 'Service' dataset, but KPIs are aggregated at the level of the entire application rather than individual services. Uses the same underlying data-generating process.","Represents a higher-level, lower-dimensional view of the same system as the 'Service' dataset. Data generation process is identical.",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
ArabicDigits (AD),Speech Recognition / Audio,13 (Mel Frequency Cepstral Coefficients - MFCCs),"Not explicitly stated for each time series, but 13 MFCCs correspond to one analysis frame. Average recording length: 1 second.",11025 Hz sampling rate,"UCI repository, Hugging Face",Timeseriesclassification.com SpokenArabicDigits:  Hugging Face Spoken Arabic Digits: https://huggingface.co/datasets/mohnasgbr/spoken-arabic-digits,"Comprises audio recordings of spoken Arabic digits from zero to nine, from 88 speakers. Structured as time series data representing acoustic features of speech (MFCCs).",Used for cross-domain transfer learning. Augmented using speed/pitch perturbation and noise addition.,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
ArrowHead,Image (Anthropology),1 (Univariate),251,Not specified; derived from image outline conversion.,UCR Time Series Classification Archive,https://www.timeseriesclassification.com/description.php?Dataset=ArrowHead,"This dataset consists of outlines of arrowhead images, converted into time series data using an angle-based method. The primary goal is to classify arrowheads into three distinct types: ""Avonlea,"" ""Clovis,"" and ""Mix.""  These classifications reflect differences in arrowhead shape, such as the presence and location of notches. The dataset is a length-normalized version and contains 211 instances in total, split into 36 training instances and 175 testing instances.  This dataset is often used for sanity checks in algorithm development and illustrative purposes.",Donated by L. Ye & E. Keogh. A relatively simple 3-class problem with 36 training and 175 testing instances. Often used for sanity checks and algorithm illustration.,17,7,10,Reconciled on 2025-08-01 16:46:28,,,,,,Y,,,,,,,,Y,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
ArticularyWordRecognition,Motion,"9 (representing x, y, and z coordinates for 3 points on the lips)",144,"Uniform (originally sampled at 200Hz, then downsampled)",timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=ArticularyWordRecognition,"This dataset consists of motion capture data recorded from speakers' lips during speech.  The data is used to classify spoken words based on the trajectories of three key points on the lips, tracked in three dimensions (x, y, z).  The task is to categorize each time series into one of 25 distinct words.  Data was collected from multiple native English speakers using an Electromagnetic Articulograph (EMA).  Twelve sensors were initially used, capturing data at 200Hz, providing X, Y, and Z time-series positions. However, the dataset includes only 9 dimensions, corresponding to 3 spatial coordinates for 3 lip points.  It contains 275 training instances and 300 testing instances, forming a 25-class classification problem.  The dataset is part of both the UEA & UCR multivariate time series classification archives.","This is a challenging benchmark for fine-grained motion analysis and word recognition from articulatory movements. The high number of classes and the complex interdependencies between the variables make accurate classification difficult. Success hinges on effectively modeling the coordinated movements of the tracked lip points.  Originally, the sensors covered more articulators, but this dataset focuses solely on lip motion.  The data is available in various formats, including Weka ARFF, simple text files, and aeon ts format.",18,7,10,Reconciled on 2025-08-01 16:47:23,,,,,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Artificial datasets,Synthetic/Artificial,Not specified,Not specified,Not specified,UCR archive (UCR2018-NEW),Download Artificial Datasets,These are constructed based on UCR2018-NEW.,Transformed/constructed from UCR2018-NEW.,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtrialFibrillation,Health,2 (ECG signals),"90,000,000",128 Hz,Qingren/TSFM-ScalingLaws-Dataset,https://huggingface.co/datasets/Qingren/TSFM-ScalingLaws-Dataset,Electrocardiogram (ECG) recordings for the classification of atrial fibrillation.  Specifically designed for evaluating the performance of Time Series Forecasting Models (TSFMs) on high-frequency physiological signal data.,This dataset presents a distinct challenge for TSFMs due to the high volume and frequency of the ECG data.,20,1,10,Split into 2 records on 2025-08-01 16:48:21,"Multiple Datasets

**Reasoning:** While all sources pertain to Atrial Fibrillation detection using ECG or related physiological signals, there are significant discrepancies in the number of data points, sampling rates, and detailed descriptions that strongly suggest the existence of multiple distinct datasets.  Specifically, the 'TSFM-Core' source describes a massive dataset designed for Time Series Forecasting Models (TSFMs) with a very high number of data points (90,000,000) and a sampling rate of 128 Hz.  The 'UCR', 'UEA', and 'UTSD' sources point to a smaller dataset from the UCR/UEA Time Series Classification Archive with only 640 data points per instance and varying sampling rates/intervals.  The web search revealed further distinct datasets hosted on Physionet, Kaggle, and within individual research projects, each with unique characteristics. These substantial differences indicate separate datasets rather than a single entity with conflicting metadata.",,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtrialFibrillation,ECG,2,640,"128 Hz (derived from web search, though original sources varied or did not specify)",timeseriesclassification.com (UCR/UEA Archive),https://www.timeseriesclassification.com/description.php?Dataset=AtrialFibrillation,"This multivariate ECG dataset involves classifying heartbeats into 3 categories (atrial fibrillation, atrial flutter, normal sinus rhythm) from 2-channel ECG recordings.  Each instance represents a 5-second segment of ECG data.",Part of the UEA & UCR multivariate time series classification archives. Contains 15 training and 15 testing instances.  Used for benchmarking time series classification algorithms.,20,8,10,Split into 2 records on 2025-08-01 16:48:21,,,,X,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,,
Audio Data,Audio,N/A (Samples/Channels),Variable,Variable,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Supported Formats,"Supports WAV, MP3, OGG, FLAC, M4A, AAC. Used for speech recognition, audio event detection. Dataloop offers dedicated Audio Annotation Studio.",Conversion of FLAC to MP3 is recommended to reduce file size.9,21,1,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AudioMNIST,Audio,1,47998,20.83mus (1/48 kHz),"Becker, S. et al. (2018). AudioMNIST: A simple benchmark for audio analysis. 1",monster-monash/AudioMNIST,"This dataset consists of 30,000 audio recordings of 60 different speakers (48 male, 12 female) pronouncing the English digits 0-9.2 The recordings were captured at a high sampling rate of 48 kHz. The primary classification task is to identify the spoken digit from the raw audio waveform. The dataset includes speakers with a diverse range of accents, although a majority are reported to have a German accent.4","The extreme length of the time series (47,998 points) presents a significant computational challenge for many models. The cross-validation folds are based on the speaker, ensuring that models are tested on their ability to generalize to new voices, not just new recordings from familiar speakers. This tests for speaker-independent digit recognition.5",22,1,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AudioMNIST-DS,Audio,1,4000,250mus (1/4 kHz),"Becker, S. et al. (2018). AudioMNIST: A simple benchmark for audio analysis. 1",monster-monash/AudioMNIST-DS,"This is a downsampled version of the AudioMNIST dataset. The original 48 kHz recordings have been resampled to 4 kHz, resulting in a much shorter time series length of 4,000 points. The task remains the same: classify the spoken digit from 0-9 based on the audio signal.5","This dataset provides a less computationally intensive alternative to the full AudioMNIST, allowing for faster experimentation. It presents a different challenge: classifying digits from a lower-fidelity signal, which may require models to learn more robust features. The speaker-based cross-validation split is maintained.5",23,1,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus. Electricity Demand (Operational),Energy,1,"230,736 - 232,272",30 minutes,Monash University,https://zenodo.org/record/4659727,"This dataset contains half-hourly operational electricity demand for Australia, excluding rooftop solar and other decentralized generation.  It reflects the demand met by scheduled generating units.",This dataset is distinct from the multivariate 'Aus. Electricity Demand' dataset and is crucial for modeling grid supply patterns.,24,1,10,Split into 2 records on 2025-08-01 16:49:12,"Multiple Datasets

The entries describe two distinct datasets mistakenly assigned the same name. While both relate to Australian electricity demand, they differ significantly in their structure and content. Source 1 ('Monash Moment') describes a univariate dataset of *operational* demand, excluding rooftop solar, while Source 2 ('UTSD') details a multivariate dataset representing the demand of five Australian states. The differing number of variables and time points confirms they are separate datasets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus. Electricity Demand (State-Level),Energy,5,"Approximately 17,520 data points per variable annually (based on half-hourly intervals), totaling ~87,600 data points across the 5 variables for a single year. The ""1.16"" value in the source likely refers to the approximate number of years. (As of today, 2025-08-01, the precise value may be higher).",30 minutes,Monash University,Monash Time Series Repository,"This multivariate dataset comprises five variables, each representing the half-hourly electricity demand for an Australian state (Victoria, NSW, Queensland, Tasmania, SA).","This dataset is a benchmark for multivariate forecasting, used to assess a model's capacity to capture individual state dynamics and cross-correlations.",24,2,10,Split into 2 records on 2025-08-01 16:49:12,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
AusBeerDataset,Economics / Manufacturing,Univariate: Megalitres (Quarterly Australian beer production),218,Quarterly,Australian Bureau of Statistics (ABS) / TSDL,"The data originates from the Australian Bureau of Statistics (Cat. 8301.0.55.001).21 It is included in Rob Hyndman's TSDL, which is the likely direct source for",darts.,"DOI: 10.24432/C59K5F Contains hourly averaged responses from metal oxide chemical sensors embedded in an Air Quality Chemical Multisensor Device in a polluted area, recorded from March 2004 to February 2005.",25,1,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Electricity (Demand),Energy/Electricity Demand,1 (Demand) / 5 (Demand for each of 5 states),230736-232272 / Varies,30 minutes (30min),Australian Energy Market Operator (AEMO) / R tsibbledata package,https://aemo.com.au/energy-systems/electricity/national-electricity-market-nem/data-nem/data-dashboard-nem / No link available,"Half-hourly electricity demand data from 5 states in Australia (Victoria, New South Wales, Queensland, Tasmania and South Australia).",This dataset focuses on electricity consumption patterns.,26,4,10,Split into 3 records on 2025-08-01 16:50:01,"Multiple Datasets

Reasoning: While all sources pertain to Australian electricity data, there are key differences that indicate distinct datasets:

* **Scope:** Some sources focus on *demand* (e.g., 'Chronos-Eval2', 'Zenodo'), others include *generation* and other variables (e.g., 'ChronosBolt-Eval2', 'Mendeley Data'), and 'ChronosX-Eval2' specifically describes generation by fuel type.  The different numbers of variables at each time point further support this.
* **Time Period:** While several sources imply data around 2021 or later based on 231052 data points at 30-minute intervals, the 'Kaggle' source explicitly mentions data from 1996-1998, and some web searches show current live data.
* **Source/Repository:** The stated primary sources vary significantly (AEMO, Mendeley Data, Hugging Face, Kaggle, etc.), indicating separate collections and potential processing.

Therefore, I will create three Golden Records corresponding to the distinct datasets I've identified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Australian Electricity (Generation & Demand),Energy,"Multiple (e.g., demand, generation, flows)",231052,30min,Mendeley Data,https://data.mendeley.com/datasets/jdxkcsxdhd/1,Contains electricity demand and generation data (including data for 116 renewable generators) from Australia's National Electricity Market (NEM) and Wholesale Electricity Market (WEM) for 2021.,Original data from AEMO.  Likely covers a broader period than the 2021 subset available on Mendeley.,26,3,10,Split into 3 records on 2025-08-01 16:50:01,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Australian Electricity (Generation by Fuel Type),Energy,6 (Electricity Generation by Fuel Type),231052 (avg),30 minutes,Hugging Face / Australian Energy Statistics,https://huggingface.co/datasets/autogluon/chronos_datasets,"Electricity generation data categorized by fuel type (coal, gas, oil, solar, wind, hydro) for Australia.",Contains 5-6 time series related to generation by fuel type.,26,2,10,Split into 3 records on 2025-08-01 16:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australian_electricity_demand,Energy,"5 (representing the 5 Australian states: Victoria, New South Wales, Queensland, Tasmania, and South Australia)","~230,736-232,272 (This range accommodates slight variations seen across sources and likely represents the full dataset from 2002-2015 as mentioned in 'TimeGPT'. It is important to note that subsets of this data may exist.)",30 minutes (30T/Half-hourly),"R's `tsibbledata` package, originally sourced from the Australian Energy Market Operator (AEMO).  This is implied by several sources referencing it, and 'Zenodo' provides a public archive of the derived data.",https://zenodo.org/record/4659727 (This Zenodo link appears most frequently and is the most reliable persistent identifier.),"This dataset comprises half-hourly electricity demand data for five Australian states (Victoria, New South Wales, Queensland, Tasmania, and South Australia) from January 2002 to April 2015.  It exhibits strong multi-seasonality (daily, weekly, and annual), making it valuable for evaluating time series forecasting models, particularly those designed for multivariate and multi-seasonal data.  The dataset originates from the R `tsibbledata` package and is archived on Zenodo.",This dataset is a canonical example for time series analysis due to its complex seasonality.  It serves as a benchmark dataset in multiple time series forecasting studies and is commonly used in tutorials and examples.,27,8,10,Reconciled on 2025-08-01 17:01:13,,,,,X,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,
australian_electricity_demand_half_hourly,Energy,>1 (Multivariate),230736 - 232272,Half Hourly,Zenodo,Zenodo Record,"Contains 5 long time series of total half-hourly electricity demand for five Australian states (NSW, QLD, SA, TAS, VIC) from 2002 to 2015.",Curated by archive authors. Part of the common TSF-32 subset.,28,3,10,Auto-reconciled (1 unique source) on 2025-08-01 17:05:51,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,
australian_weather,Nature / Meteorology,3010,"1,332 - 65,981",Daily,Monash Time Series Forecasting Repository,Zenodo Record 4654822,"Comprises 3,010 daily time series of four weather variables from numerous stations across Australia, exhibiting seasonal and stochastic behavior.",11 The large number of noisy and geographically diverse series helped train TTM for robustness and effective generalization.,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
